COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
248efc98-ced,Ethan Green,2023-03-20T04:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
340d9240-a00,art_creator,2024-11-21T13:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
1aec7a31-94d,FakeAccount001,2024-09-11T07:00:00,Awesome video bro! Sub to me I sub back!,1
00c0cffb-194,Michael Brown,2023-10-09T17:00:00,The quality of your content keeps getting better,0
c71562ba-ae9,LikeBot3000985,2024-05-30T14:00:00,Hey check my channel out http://freelikesfollowers.com,1
35f29d8f-e8d,SubscribeNow123962,2024-01-19T04:00:00,Adult content at http://bit.ly/fReEstUfF 🔞 🚀👇,1
e295ba40-e41,study_buddy,2024-07-13T13:00:00,Your travel vlogs are always so beautiful,0
762c9167-26c,Jessica Lee,2024-09-20T10:00:00,You explained in 10 minutes what my textbook couldn't in 100 pages,0
374c25c5-0b4,Kevin Clark,2023-03-14T16:00:00,Can you recommend any books on this topic?,0
ce426516-2e5,Sarah Williams,2024-07-27T17:00:00,I shared this with all my friends,0
6224b49f-8d4,Sarah Williams,2024-03-03T12:00:00,Subscribed after watching just one video,0
bedf90a3-6cc,Andrew Young,2023-05-19T06:00:00,This is my favorite YouTube channel,0
de15b580-49b,ViralQueen,2024-11-12T17:00:00,CHECK OUT MY NEW SONG ON MY CHANNEL!!!,1
74d43ea8-992,tech_nerd,2024-01-27T02:00:00,"You explain things so clearly, keep it up!",0
7044f0bd-166,GiveawayBot,2023-04-18T21:00:00,Nice video! 👍 Check out my content too!,1
426f4c4c-e99,CryptoGuru99,2023-03-15T00:00:00,Visit http://goo.gl/spam123 to get 1000 free subscribers!,1
2a2c1639-341,GiveawayBot,2024-01-06T04:00:00,Meet beautiful people at http://subscribe2win.com 😍!!!!!!,1
3efe3b44-038,RichQuick612,2024-01-20T00:00:00,WIN A $1000 GIFT CARD AT HTTP://GOO.GL/SPAM123,1
09c6b798-174,RichQuick310,2024-11-27T19:00:00,Want free followers? Click http://bitcoin-profit.io!!!,1
e2c33317-547,Samantha Harris,2023-09-17T08:00:00,This popped up in my recommendations and I'm glad it did,0
927455b2-210,Daniel Martinez,2023-10-26T14:00:00,"I cried watching this, so beautiful",0
ad837d33-07c,Sub4SubKing98,2023-11-14T16:00:00,"IF YOU SEE THIS, YOU HAVE TO SUBSCRIBE TO ME!",1
996c22a0-1e3,FollowerFactory274,2024-06-10T18:00:00,Check out this amazing deal at http://tinyurl.com/fr33g1fts,1
c9577b27-021,FollowerFactory,2023-12-10T05:00:00,Forex signals for free! Check http://tinyurl.com/fr33g1fts 😱😱🤑🚀,1
a5673972-2dd,Kayla Scott,2023-10-24T17:00:00,Finally someone who explains this properly!,0
b2c75e31-ab0,Stephanie King,2023-02-21T20:00:00,"Great video, really enjoyed it!",0
ed992dfb-493,Sub4SubKing610,2023-01-10T15:00:00,CLICK HERE FOR FREE V-BUCKS HTTP://EARN-MONEY-NOW.BIZ,1
620bf065-201,SpamMaster,2023-06-07T07:00:00,Subscribe to my channel http://goo.gl/spam123 for free gifts!!!!!!!,1
